artist_name,song_name,genres,cluster
snoop dogg,lay low,Hip Hop; Rap; Black Music,2
snoop dogg,crip ya enthusiasm,Hip Hop; Rap; Black Music,1
snoop dogg,still smokin,Hip Hop; Rap; Black Music,5
snoop dogg,1st we blaze it up,Hip Hop; Rap; Black Music,2
snoop dogg,2 minute warning,Hip Hop; Rap; Black Music,6
snoop dogg,a bitch i knew,Hip Hop; Rap; Black Music,5
snoop dogg,back up off me,Hip Hop; Rap; Black Music,5
snoop dogg,bang out,Hip Hop; Rap; Black Music,1
snoop dogg,beat up on yo pads,Hip Hop; Rap; Black Music,2
snoop dogg,been around tha world,Hip Hop; Rap; Black Music,5
snoop dogg,bitch please,Hip Hop; Rap; Black Music,1
snoop dogg,breathe it in,Hip Hop; Rap; Black Music,6
snoop dogg,bring it on,Hip Hop; Rap; Black Music,5
snoop dogg,can i get a flicc witchu,Hip Hop; Rap; Black Music,2
snoop dogg,catch a vibe,Hip Hop; Rap; Black Music,1
snoop dogg,ceo,Hip Hop; Rap; Black Music,6
snoop dogg,cool,Hip Hop; Rap; Black Music,5
snoop dogg,crazy,Hip Hop; Rap; Black Music,5
snoop dogg,deez hollywood nights,Hip Hop; Rap; Black Music,2
snoop dogg,doggfather,Hip Hop; Rap; Black Music,1
snoop dogg,doggystylin,Hip Hop; Rap; Black Music,1
snoop dogg,focused,Hip Hop; Rap; Black Music,6
snoop dogg,from long beach 2 brick city,Hip Hop; Rap; Black Music,1
snoop dogg,from tha chuuuch to da palace,Hip Hop; Rap; Black Music,6
snoop dogg,g bedtime stories,Hip Hop; Rap; Black Music,5
snoop dogg,gangsta like me,Hip Hop; Rap; Black Music,1
snoop dogg,gin and juice,Hip Hop; Rap; Black Music,5
snoop dogg,girl like u,Hip Hop; Rap; Black Music,5
snoop dogg,go away,Hip Hop; Rap; Black Music,2
snoop dogg,gun smoke,Hip Hop; Rap; Black Music,5
chris brown,with you,Rap; Hip Hop; Pop,1
chris brown,say goodbye,Rap; Hip Hop; Pop,5
chris brown,under the influence,Rap; Hip Hop; Pop,6
chris brown,hope you do,Rap; Hip Hop; Pop,1
chris brown,indigo,Rap; Hip Hop; Pop,6
chris brown,iffy,Rap; Hip Hop; Pop,1
chris brown,gimme that,Rap; Hip Hop; Pop,6
chris brown,wall to wall,Rap; Hip Hop; Pop,6
chris brown,back to sleep,Rap; Hip Hop; Pop,2
chris brown,2012,Rap; Hip Hop; Pop,1
chris brown,4 years old,Rap; Hip Hop; Pop,0
chris brown,add me in,Rap; Hip Hop; Pop,1
chris brown,all back,Rap; Hip Hop; Pop,6
chris brown,back to love,Rap; Hip Hop; Pop,2
chris brown,bassline,Rap; Hip Hop; Pop,1
chris brown,beg for it,Rap; Hip Hop; Pop,1
chris brown,biggest fan,Rap; Hip Hop; Pop,5
chris brown,body shots,Rap; Hip Hop; Pop,5
chris brown,confidence,Rap; Hip Hop; Pop,5
chris brown,covered in you,Rap; Hip Hop; Pop,6
chris brown,crawl,Rap; Hip Hop; Pop,6
chris brown,damage,Rap; Hip Hop; Pop,5
chris brown,everybody knows,Rap; Hip Hop; Pop,1
chris brown,fallin down,Rap; Hip Hop; Pop,5
chris brown,famous girl,Rap; Hip Hop; Pop,6
chris brown,fine china,Rap; Hip Hop; Pop,5
chris brown,flashbacks,Rap; Hip Hop; Pop,6
chris brown,forever,Rap; Hip Hop; Pop,1
chris brown,get at ya,Rap; Hip Hop; Pop,6
chris brown,gimme whatcha got,Rap; Hip Hop; Pop,1
lil wayne,lollipop,R&B; Black Music; Rap,1
lil wayne,how to love,R&B; Black Music; Rap,6
lil wayne,twist made me,R&B; Black Music; Rap,1
lil wayne,3 peat,R&B; Black Music; Rap,5
lil wayne,500 degreez,R&B; Black Music; Rap,1
lil wayne,a milli,R&B; Black Music; Rap,1
lil wayne,american star,R&B; Black Music; Rap,5
lil wayne,back to you,R&B; Black Music; Rap,5
lil wayne,best rapper alive,R&B; Black Music; Rap,1
lil wayne,bill gates,R&B; Black Music; Rap,5
lil wayne,biznite,R&B; Black Music; Rap,1
lil wayne,bloodline,R&B; Black Music; Rap,5
lil wayne,blunt blowin,R&B; Black Music; Rap,5
lil wayne,bring it back,R&B; Black Music; Rap,5
lil wayne,carter ii,R&B; Black Music; Rap,5
lil wayne,cash money millionaires,R&B; Black Music; Rap,1
lil wayne,comfortable,R&B; Black Music; Rap,5
lil wayne,da da da,R&B; Black Music; Rap,5
lil wayne,dedicate,R&B; Black Music; Rap,2
lil wayne,demon,R&B; Black Music; Rap,5
lil wayne,dontgetit,R&B; Black Music; Rap,5
lil wayne,everything,R&B; Black Music; Rap,1
lil wayne,feel me,R&B; Black Music; Rap,5
lil wayne,fireman,R&B; Black Music; Rap,5
lil wayne,fly in,R&B; Black Music; Rap,5
lil wayne,fly out,R&B; Black Music; Rap,1
lil wayne,gangsta and pimps,R&B; Black Music; Rap,6
lil wayne,gangsta shit,R&B; Black Music; Rap,5
lil wayne,get a life,R&B; Black Music; Rap,1
lil wayne,get down,R&B; Black Music; Rap,5
prince,purple rain,R&B; Black Music; Funk,3
prince,1999,R&B; Black Music; Funk,6
prince,little red corvette,R&B; Black Music; Funk,5
prince,jungle love,R&B; Black Music; Funk,5
prince,7,R&B; Black Music; Funk,1
prince,somewhere here on earth,R&B; Black Music; Funk,5
prince,100 mph,R&B; Black Music; Funk,4
prince,2 nigs united 4 west compton,R&B; Black Music; Funk,3
prince,2045 radical man,R&B; Black Music; Funk,6
prince,3121,R&B; Black Music; Funk,5
prince,4ever,R&B; Black Music; Funk,1
prince,a case of u,R&B; Black Music; Funk,4
