artist_name,song_name,genres
snoop dogg,lay low,Hip Hop; Rap; Black Music
snoop dogg,crip ya enthusiasm,Hip Hop; Rap; Black Music
snoop dogg,still smokin,Hip Hop; Rap; Black Music
snoop dogg,1st we blaze it up,Hip Hop; Rap; Black Music
snoop dogg,2 minute warning,Hip Hop; Rap; Black Music
snoop dogg,a bitch i knew,Hip Hop; Rap; Black Music
snoop dogg,back up off me,Hip Hop; Rap; Black Music
snoop dogg,bang out,Hip Hop; Rap; Black Music
snoop dogg,beat up on yo pads,Hip Hop; Rap; Black Music
snoop dogg,been around tha world,Hip Hop; Rap; Black Music
snoop dogg,bitch please,Hip Hop; Rap; Black Music
snoop dogg,breathe it in,Hip Hop; Rap; Black Music
snoop dogg,bring it on,Hip Hop; Rap; Black Music
snoop dogg,can i get a flicc witchu,Hip Hop; Rap; Black Music
snoop dogg,catch a vibe,Hip Hop; Rap; Black Music
snoop dogg,ceo,Hip Hop; Rap; Black Music
snoop dogg,cool,Hip Hop; Rap; Black Music
snoop dogg,crazy,Hip Hop; Rap; Black Music
snoop dogg,deez hollywood nights,Hip Hop; Rap; Black Music
snoop dogg,doggfather,Hip Hop; Rap; Black Music
snoop dogg,doggystylin,Hip Hop; Rap; Black Music
snoop dogg,focused,Hip Hop; Rap; Black Music
snoop dogg,from long beach 2 brick city,Hip Hop; Rap; Black Music
snoop dogg,from tha chuuuch to da palace,Hip Hop; Rap; Black Music
snoop dogg,g bedtime stories,Hip Hop; Rap; Black Music
snoop dogg,gangsta like me,Hip Hop; Rap; Black Music
snoop dogg,gin and juice,Hip Hop; Rap; Black Music
snoop dogg,girl like u,Hip Hop; Rap; Black Music
snoop dogg,go away,Hip Hop; Rap; Black Music
snoop dogg,gun smoke,Hip Hop; Rap; Black Music
chris brown,with you,Rap; Hip Hop; Pop
chris brown,say goodbye,Rap; Hip Hop; Pop
chris brown,under the influence,Rap; Hip Hop; Pop
chris brown,hope you do,Rap; Hip Hop; Pop
chris brown,indigo,Rap; Hip Hop; Pop
chris brown,iffy,Rap; Hip Hop; Pop
chris brown,gimme that,Rap; Hip Hop; Pop
chris brown,wall to wall,Rap; Hip Hop; Pop
chris brown,back to sleep,Rap; Hip Hop; Pop
chris brown,2012,Rap; Hip Hop; Pop
chris brown,4 years old,Rap; Hip Hop; Pop
chris brown,add me in,Rap; Hip Hop; Pop
chris brown,all back,Rap; Hip Hop; Pop
chris brown,back to love,Rap; Hip Hop; Pop
chris brown,bassline,Rap; Hip Hop; Pop
chris brown,beg for it,Rap; Hip Hop; Pop
chris brown,biggest fan,Rap; Hip Hop; Pop
chris brown,body shots,Rap; Hip Hop; Pop
chris brown,confidence,Rap; Hip Hop; Pop
chris brown,covered in you,Rap; Hip Hop; Pop
chris brown,crawl,Rap; Hip Hop; Pop
chris brown,damage,Rap; Hip Hop; Pop
chris brown,everybody knows,Rap; Hip Hop; Pop
chris brown,fallin down,Rap; Hip Hop; Pop
chris brown,famous girl,Rap; Hip Hop; Pop
chris brown,fine china,Rap; Hip Hop; Pop
chris brown,flashbacks,Rap; Hip Hop; Pop
chris brown,forever,Rap; Hip Hop; Pop
chris brown,get at ya,Rap; Hip Hop; Pop
chris brown,gimme whatcha got,Rap; Hip Hop; Pop
lil wayne,lollipop,R&B; Black Music; Rap
lil wayne,how to love,R&B; Black Music; Rap
lil wayne,twist made me,R&B; Black Music; Rap
lil wayne,3 peat,R&B; Black Music; Rap
lil wayne,500 degreez,R&B; Black Music; Rap
lil wayne,a milli,R&B; Black Music; Rap
lil wayne,american star,R&B; Black Music; Rap
lil wayne,back to you,R&B; Black Music; Rap
lil wayne,best rapper alive,R&B; Black Music; Rap
lil wayne,bill gates,R&B; Black Music; Rap
lil wayne,biznite,R&B; Black Music; Rap
lil wayne,bloodline,R&B; Black Music; Rap
lil wayne,blunt blowin,R&B; Black Music; Rap
lil wayne,bring it back,R&B; Black Music; Rap
lil wayne,carter ii,R&B; Black Music; Rap
lil wayne,cash money millionaires,R&B; Black Music; Rap
lil wayne,comfortable,R&B; Black Music; Rap
lil wayne,da da da,R&B; Black Music; Rap
lil wayne,dedicate,R&B; Black Music; Rap
lil wayne,demon,R&B; Black Music; Rap
lil wayne,dontgetit,R&B; Black Music; Rap
lil wayne,everything,R&B; Black Music; Rap
lil wayne,feel me,R&B; Black Music; Rap
lil wayne,fireman,R&B; Black Music; Rap
lil wayne,fly in,R&B; Black Music; Rap
lil wayne,fly out,R&B; Black Music; Rap
lil wayne,gangsta and pimps,R&B; Black Music; Rap
lil wayne,gangsta shit,R&B; Black Music; Rap
lil wayne,get a life,R&B; Black Music; Rap
lil wayne,get down,R&B; Black Music; Rap
prince,purple rain,R&B; Black Music; Funk
prince,1999,R&B; Black Music; Funk
prince,little red corvette,R&B; Black Music; Funk
prince,jungle love,R&B; Black Music; Funk
prince,7,R&B; Black Music; Funk
prince,somewhere here on earth,R&B; Black Music; Funk
prince,100 mph,R&B; Black Music; Funk
prince,2 nigs united 4 west compton,R&B; Black Music; Funk
prince,2045 radical man,R&B; Black Music; Funk
prince,3121,R&B; Black Music; Funk
prince,4ever,R&B; Black Music; Funk
prince,a case of u,R&B; Black Music; Funk
prince,a million days,R&B; Black Music; Funk
prince,adore,R&B; Black Music; Funk
prince,all the midnights in the world,R&B; Black Music; Funk
prince,anna stesia,R&B; Black Music; Funk
prince,art official cage,R&B; Black Music; Funk
prince,avalanche,R&B; Black Music; Funk
prince,beautiful strange,R&B; Black Music; Funk
prince,black muse,R&B; Black Music; Funk
prince,black sweat,R&B; Black Music; Funk
prince,born 2 die,R&B; Black Music; Funk
prince,breakdown,R&B; Black Music; Funk
prince,breakfast can wait,R&B; Black Music; Funk
prince,call my name,R&B; Black Music; Funk
prince,chelsea rodgers,R&B; Black Music; Funk
prince,cinnamon girl,R&B; Black Music; Funk
prince,clouds,R&B; Black Music; Funk
prince,controversy,R&B; Black Music; Funk
prince,cream,R&B; Black Music; Funk
elvis presley,suspicious minds,Rockabilly; Romântico; Rock
elvis presley,always on my mind,Rockabilly; Romântico; Rock
elvis presley,love me tender,Rockabilly; Romântico; Rock
elvis presley,my way,Rockabilly; Romântico; Rock
elvis presley,bridge over troubled water,Rockabilly; Romântico; Rock
elvis presley,unchained melody,Rockabilly; Romântico; Rock
elvis presley,amazing grace,Rockabilly; Romântico; Rock
elvis presley,jailhouse rock,Rockabilly; Romântico; Rock
elvis presley,burning love,Rockabilly; Romântico; Rock
elvis presley,kiss me quick,Rockabilly; Romântico; Rock
elvis presley,if i can dream,Rockabilly; Romântico; Rock
elvis presley,the wonder of you,Rockabilly; Romântico; Rock
elvis presley,and i love you so,Rockabilly; Romântico; Rock
elvis presley,blue suede shoes,Rockabilly; Romântico; Rock
elvis presley,a little less conversation,Rockabilly; Romântico; Rock
elvis presley,a hundred years from now,Rockabilly; Romântico; Rock
elvis presley,a mess of blues,Rockabilly; Romântico; Rock
elvis presley,a thing called love,Rockabilly; Romântico; Rock
elvis presley,all shook up,Rockabilly; Romântico; Rock
elvis presley,all that i am,Rockabilly; Romântico; Rock
elvis presley,an american trilogy,Rockabilly; Romântico; Rock
elvis presley,an evening prayer,Rockabilly; Romântico; Rock
elvis presley,any day now,Rockabilly; Romântico; Rock
elvis presley,are you lonesome tonight,Rockabilly; Romântico; Rock
elvis presley,baby lets play house,Rockabilly; Romântico; Rock
elvis presley,baby what you want me to do,Rockabilly; Romântico; Rock
elvis presley,blue christmas,Rockabilly; Romântico; Rock
elvis presley,blue hawaii,Rockabilly; Romântico; Rock
elvis presley,blue moon of kentucky,Rockabilly; Romântico; Rock
elvis presley,bosom of abraham,Rockabilly; Romântico; Rock
john mayer,gravity,Romântico; Blues; Pop/Rock
john mayer,slow dancing in a burning room,Romântico; Blues; Pop/Rock
john mayer,xo,Romântico; Blues; Pop/Rock
john mayer,heartbreak warfare,Romântico; Blues; Pop/Rock
john mayer,your body is a wonderland,Romântico; Blues; Pop/Rock
john mayer,daughters,Romântico; Blues; Pop/Rock
john mayer,waiting on the world to change,Romântico; Blues; Pop/Rock
john mayer,3x5,Romântico; Blues; Pop/Rock
john mayer,half of my heart,Romântico; Blues; Pop/Rock
john mayer,last train home,Romântico; Blues; Pop/Rock
john mayer,neon,Romântico; Blues; Pop/Rock
john mayer,my stupid mouth,Romântico; Blues; Pop/Rock
john mayer,belief,Romântico; Blues; Pop/Rock
john mayer,who says,Romântico; Blues; Pop/Rock
john mayer,carry me away,Romântico; Blues; Pop/Rock
john mayer,stop this train,Romântico; Blues; Pop/Rock
john mayer,no such thing,Romântico; Blues; Pop/Rock
john mayer,in your atmosphere,Romântico; Blues; Pop/Rock
john mayer,the heart of life,Romântico; Blues; Pop/Rock
john mayer,83,Romântico; Blues; Pop/Rock
john mayer,a face to call home,Romântico; Blues; Pop/Rock
john mayer,all i want is to be with you,Romântico; Blues; Pop/Rock
john mayer,all we ever do is say goodbye,Romântico; Blues; Pop/Rock
john mayer,another kind of green,Romântico; Blues; Pop/Rock
john mayer,assassin,Romântico; Blues; Pop/Rock
john mayer,back to you,Romântico; Blues; Pop/Rock
john mayer,badge and gun,Romântico; Blues; Pop/Rock
john mayer,bold as love,Romântico; Blues; Pop/Rock
john mayer,born and raised,Romântico; Blues; Pop/Rock
john mayer,call me the breeze,Romântico; Blues; Pop/Rock
michael bublé,home,Romântico; Jazz; Blues
michael bublé,everything,Romântico; Jazz; Blues
michael bublé,feeling good,Romântico; Jazz; Blues
michael bublé,my valentine,Romântico; Jazz; Blues
michael bublé,sway,Romântico; Jazz; Blues
michael bublé,close your eyes,Romântico; Jazz; Blues
michael bublé,when i fall in love,Romântico; Jazz; Blues
michael bublé,save the last dance for me,Romântico; Jazz; Blues
michael bublé,i only have eyes for you,Romântico; Jazz; Blues
michael bublé,lost,Romântico; Jazz; Blues
michael bublé,the way you look tonight,Romântico; Jazz; Blues
michael bublé,love you anymore,Romântico; Jazz; Blues
michael bublé,my funny valentine,Romântico; Jazz; Blues
michael bublé,all i do is dream of you,Romântico; Jazz; Blues
michael bublé,all i want for christmas is you,Romântico; Jazz; Blues
michael bublé,all of me,Romântico; Jazz; Blues
michael bublé,always on my mind,Romântico; Jazz; Blues
michael bublé,anyone to love,Romântico; Jazz; Blues
michael bublé,at this moment,Romântico; Jazz; Blues
michael bublé,best of me,Romântico; Jazz; Blues
michael bublé,blue christmas,Romântico; Jazz; Blues
michael bublé,call me irresponsible,Romântico; Jazz; Blues
michael bublé,cold december night,Romântico; Jazz; Blues
michael bublé,come dance with me,Romântico; Jazz; Blues
michael bublé,come fly with me,Romântico; Jazz; Blues
michael bublé,crazy little thing called love,Romântico; Jazz; Blues
michael bublé,crazy love,Romântico; Jazz; Blues
michael bublé,cry me a river,Romântico; Jazz; Blues
michael bublé,down with love,Romântico; Jazz; Blues
michael bublé,end of may,Romântico; Jazz; Blues
eric clapton,tears in heaven,Rock; Blues
eric clapton,wonderful tonight,Rock; Blues
eric clapton,layla,Rock; Blues
eric clapton,change the world,Rock; Blues
eric clapton,cocaine,Rock; Blues
eric clapton,this has gotta stop,Rock; Blues
eric clapton,i shot the sheriff,Rock; Blues
eric clapton,love comes to everyone,Rock; Blues
eric clapton,river of tears,Rock; Blues
eric clapton,holy mother,Rock; Blues
eric clapton,stand and deliver,Rock; Blues
eric clapton,double trouble,Rock; Blues
eric clapton,hoochie coochie man,Rock; Blues
eric clapton,promises,Rock; Blues
